area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet Area,Ready To Move,Anna Nagar,1 BHK,Society1,1117,2,0,49.91
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society3,3725,4,0,101.91
Plot Area,Ready To Move,Adyar,2 BHK,Society1,1915,1,3,90.78
Carpet Area,Ready To Move,Velachery,2 BHK,Society1,2308,2,3,132.87
Carpet Area,Under Construction,Tambaram,3 BHK,Society5,2526,3,2,70.73
Plot Area,Under Construction,Anna Nagar,4 BHK,Society1,2861,2,0,93.69
Plot Area,Ready To Move,Kodambakkam,4 BHK,Society4,4750,4,1,179.61
Carpet Area,Under Construction,Anna Nagar,5 BHK,Society5,4431,4,1,245.83
Plot Area,Under Construction,Adyar,5 BHK,Society1,2601,1,0,150.47
Built-up Area,Under Construction,Sholinganallur,5 BHK,Society5,5424,2,0,317.94
Built-up Area,Under Construction,Thiruvanmiyur,5 BHK,Society3,5118,1,1,353.17
Built-up Area,Ready To Move,Medavakkam,3 BHK,Society1,3010,1,3,127.9
Plot Area,Under Construction,Nungambakkam,4 BHK,Society4,3415,2,2,96.62
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society1,3608,2,0,251.77
Plot Area,Under Construction,Thiruvanmiyur,2 BHK,Society4,2248,3,3,137.52
Built-up Area,Ready To Move,Velachery,5 BHK,Society1,4879,2,2,149.12
Built-up Area,Ready To Move,Adyar,3 BHK,Society1,2398,3,0,131.96
Carpet Area,Under Construction,Thiruvanmiyur,3 BHK,Society2,3293,1,1,102.3
Built-up Area,Ready To Move,Kodambakkam,5 BHK,Society5,4989,3,1,227.06
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society1,3669,2,1,237.26
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society5,818,2,0,26.66
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society1,516,1,3,14.2
Carpet Area,Under Construction,Tambaram,5 BHK,Society2,3134,5,3,190.96
Built-up Area,Under Construction,Adyar,1 BHK,Society5,562,2,2,21.63
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society2,3991,4,1,240.02
Plot Area,Under Construction,Medavakkam,5 BHK,Society4,3608,5,2,166.53
Built-up Area,Under Construction,Velachery,3 BHK,Society1,3106,1,0,203.17
Carpet Area,Under Construction,Nungambakkam,3 BHK,Society5,1548,1,1,49.13
Plot Area,Ready To Move,Nungambakkam,4 BHK,Society1,2677,1,2,166.85
Built-up Area,Ready To Move,T. Nagar,2 BHK,Society5,1750,1,0,104.35
Plot Area,Ready To Move,Nungambakkam,3 BHK,Society4,3062,3,0,148.85
Plot Area,Ready To Move,Velachery,4 BHK,Society3,3786,2,0,138.32
Carpet Area,Under Construction,Kodambakkam,4 BHK,Society2,3981,5,0,102.44
Built-up Area,Ready To Move,Adyar,3 BHK,Society4,3442,4,0,131.74
Plot Area,Ready To Move,Velachery,3 BHK,Society3,2692,2,1,145.8
Built-up Area,Ready To Move,Velachery,1 BHK,Society3,774,1,1,43.8
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society3,1973,2,3,82.65
Carpet Area,Ready To Move,Anna Nagar,4 BHK,Society2,3997,3,1,245.5
Built-up Area,Ready To Move,Tambaram,4 BHK,Society2,4296,4,3,300.54
Plot Area,Ready To Move,Adyar,1 BHK,Society5,1080,1,2,64.45
Carpet Area,Ready To Move,T. Nagar,4 BHK,Society2,3091,5,1,80.94
Built-up Area,Under Construction,Velachery,2 BHK,Society1,2193,2,0,101.61
Carpet Area,Under Construction,Adyar,1 BHK,Society4,537,2,0,29.29
Built-up Area,Ready To Move,T. Nagar,3 BHK,Society5,1619,4,1,60.66
Plot Area,Ready To Move,Tambaram,3 BHK,Society1,2547,2,1,113.58
Carpet Area,Under Construction,Thiruvanmiyur,2 BHK,Society2,1140,2,3,59.7
